DATE,TTLCONS
1993-01-01,459815.333333333333
1993-04-01,472890.000000000000
1993-07-01,490787.333333333333
1993-10-01,513969.000000000000
1994-01-01,515850.000000000000
1994-04-01,532196.333333333333
1994-07-01,537802.333333333333
1994-10-01,538072.333333333333
1995-01-01,541490.333333333333
1995-04-01,543931.000000000000
1995-07-01,550783.000000000000
1995-10-01,556843.333333333333
1996-01-01,572576.000000000000
1996-04-01,597600.000000000000
1996-07-01,606441.333333333333
1996-10-01,616217.000000000000
1997-01-01,614830.000000000000
1997-04-01,622438.000000000000
1997-07-01,641176.333333333333
1997-10-01,646309.000000000000
1998-01-01,653571.000000000000
1998-04-01,683951.000000000000
1998-07-01,700752.333333333333
1998-10-01,707592.333333333333
1999-01-01,724117.333333333333
1999-04-01,731771.000000000000
1999-07-01,746247.000000000000
1999-10-01,776845.333333333333
2000-01-01,796045.333333333333
2000-04-01,801727.333333333333
2000-07-01,801155.333333333333
2000-10-01,815890.000000000000
2001-01-01,818727.666666666667
2001-04-01,848756.000000000000
2001-07-01,845116.000000000000
2001-10-01,846513.666666666667
2002-01-01,855181.000000000000
2002-04-01,851984.000000000000
2002-07-01,839423.666666666667
2002-10-01,846769.333333333333
2003-01-01,858070.666666666667
2003-04-01,869046.000000000000
2003-07-01,901564.000000000000
2003-10-01,933402.666666666667
2004-01-01,945832.333333333333
2004-04-01,975023.333333333333
2004-07-01,1010626.666666666667
2004-10-01,1025397.666666666667
2005-01-01,1061558.333333333333
2005-04-01,1093416.333333333333
2005-07-01,1132234.000000000000
2005-10-01,1172532.666666666667
2006-01-01,1202150.000000000000
2006-04-01,1182001.666666666667
2006-07-01,1146528.666666666667
2006-10-01,1126689.666666666667
2007-01-01,1141191.000000000000
2007-04-01,1158560.666666666667
2007-07-01,1157701.666666666667
2007-10-01,1133513.333333333333
2008-01-01,1103813.666666666667
2008-04-01,1097632.333333333333
2008-07-01,1072202.000000000000
2008-10-01,1030043.666666666667
2009-01-01,970200.000000000000
2009-04-01,921677.333333333333
2009-07-01,899597.000000000000
2009-10-01,857497.666666666667
2010-01-01,819616.000000000000
2010-04-01,825018.000000000000
2010-07-01,803150.666666666667
2010-10-01,798306.000000000000
2011-01-01,762499.000000000000
2011-04-01,779842.333333333333
2011-07-01,805998.000000000000
2011-10-01,813931.666666666667
2012-01-01,828088.666666666667
2012-04-01,850225.666666666667
2012-07-01,862749.333333333333
2012-10-01,873075.666666666667
2013-01-01,866938.333333333333
2013-04-01,889258.333333333333
2013-07-01,928312.666666666667
2013-10-01,964849.000000000000
2014-01-01,988427.333333333333
2014-04-01,1006824.000000000000
2014-07-01,1017307.000000000000
2014-10-01,1049241.333333333333
2015-01-01,1079254.000000000000
2015-04-01,1143712.333333333333
2015-07-01,1169420.000000000000
2015-10-01,1161907.333333333333
2016-01-01,1184554.000000000000
2016-04-01,1209587.000000000000
2016-07-01,1232803.333333333333
2016-10-01,1268962.333333333333
2017-01-01,1267180.000000000000
2017-04-01,1278025.333333333333
2017-07-01,1277770.666666666667
2017-10-01,1300466.333333333333
2018-01-01,1345359.000000000000
2018-04-01,1356036.666666666667
2018-07-01,1334499.333333333333
2018-10-01,1297789.333333333333
2019-01-01,1310193.333333333333
2019-04-01,1370949.333333333333
2019-07-01,1424299.000000000000
2019-10-01,1453370.000000000000
2020-01-01,1500238.666666666667
2020-04-01,1463755.666666666667
2020-07-01,1488970.666666666667
2020-10-01,1545075.333333333333
2021-01-01,1584574.000000000000
2021-04-01,1619471.666666666667
2021-07-01,1637263.000000000000
2021-10-01,1663522.333333333333
2022-01-01,1749292.000000000000
2022-04-01,1792819.666666666667
2022-07-01,1812003.000000000000
