DATE,WHLSLRIRSA
1992-01-01,1.31333333333333333333
1992-04-01,1.31333333333333333333
1992-07-01,1.30000000000000000000
1992-10-01,1.31000000000000000000
1993-01-01,1.30333333333333333333
1993-04-01,1.29666666666666666667
1993-07-01,1.30000000000000000000
1993-10-01,1.31333333333333333333
1994-01-01,1.29666666666666666667
1994-04-01,1.29333333333333333333
1994-07-01,1.28000000000000000000
1994-10-01,1.27333333333333333333
1995-01-01,1.28333333333333333333
1995-04-01,1.29666666666666666667
1995-07-01,1.30333333333333333333
1995-10-01,1.29000000000000000000
1996-01-01,1.29000000000000000000
1996-04-01,1.28666666666666666667
1996-07-01,1.26000000000000000000
1996-10-01,1.24666666666666666667
1997-01-01,1.23666666666666666667
1997-04-01,1.25666666666666666667
1997-07-01,1.26333333333333333333
1997-10-01,1.28333333333333333333
1998-01-01,1.29666666666666666667
1998-04-01,1.31000000000000000000
1998-07-01,1.32333333333333333333
1998-10-01,1.33000000000000000000
1999-01-01,1.33000000000000000000
1999-04-01,1.29333333333333333333
1999-07-01,1.28333333333333333333
1999-10-01,1.27333333333333333333
2000-01-01,1.28000000000000000000
2000-04-01,1.28666666666666666667
2000-07-01,1.29333333333333333333
2000-10-01,1.29333333333333333333
2001-01-01,1.30333333333333333333
2001-04-01,1.3333333333333333
2001-07-01,1.31666666666666666667
2001-10-01,1.31666666666666666667
2002-01-01,1.28666666666666666667
2002-04-01,1.24666666666666666667
2002-07-01,1.24333333333333333333
2002-10-01,1.24666666666666666667
2003-01-01,1.23000000000000000000
2003-04-01,1.24333333333333333333
2003-07-01,1.21666666666666666667
2003-10-01,1.19666666666666666667
2004-01-01,1.17666666666666666667
2004-04-01,1.16000000000000000000
2004-07-01,1.18000000000000000000
2004-10-01,1.17666666666666666667
2005-01-01,1.18333333333333333333
2005-04-01,1.18666666666666666667
2005-07-01,1.16666666666666666667
2005-10-01,1.15333333333333333333
2006-01-01,1.16000000000000000000
2006-04-01,1.16333333333333333333
2006-07-01,1.17666666666666666667
2006-10-01,1.19666666666666666667
2007-01-01,1.18666666666666666667
2007-04-01,1.16000000000000000000
2007-07-01,1.16333333333333333333
2007-10-01,1.15000000000000000000
2008-01-01,1.15333333333333333333
2008-04-01,1.13666666666666666667
2008-07-01,1.17333333333333333333
2008-10-01,1.32333333333333333333
2009-01-01,1.3900000000000000
2009-04-01,1.3333333333333333
2009-07-01,1.23333333333333333333
2009-10-01,1.19000000000000000000
2010-01-01,1.15000000000000000000
2010-04-01,1.13666666666666666667
2010-07-01,1.15666666666666666667
2010-10-01,1.16000000000000000000
2011-01-01,1.14000000000000000000
2011-04-01,1.15333333333333333333
2011-07-01,1.16000000000000000000
2011-10-01,1.15666666666666666667
2012-01-01,1.15000000000000000000
2012-04-01,1.16666666666666666667
2012-07-01,1.19333333333333333333
2012-10-01,1.19333333333333333333
2013-01-01,1.18666666666666666667
2013-04-01,1.18666666666666666667
2013-07-01,1.19000000000000000000
2013-10-01,1.19000000000000000000
2014-01-01,1.21333333333333333333
2014-04-01,1.20666666666666666667
2014-07-01,1.21333333333333333333
2014-10-01,1.24666666666666666667
2015-01-01,1.31666666666666666667
2015-04-01,1.31666666666666666667
2015-07-01,1.3333333333333333
2015-10-01,1.3500000000000000
2016-01-01,1.3766666666666667
2016-04-01,1.3666666666666667
2016-07-01,1.3466666666666667
2016-10-01,1.33000000000000000000
2017-01-01,1.31333333333333333333
2017-04-01,1.32333333333333333333
2017-07-01,1.32000000000000000000
2017-10-01,1.27666666666666666667
2018-01-01,1.29666666666666666667
2018-04-01,1.26333333333333333333
2018-07-01,1.27000000000000000000
2018-10-01,1.30666666666666666667
2019-01-01,1.3433333333333333
2019-04-01,1.3533333333333333
2019-07-01,1.3533333333333333
2019-10-01,1.3533333333333333
2020-01-01,1.3500000000000000
2020-04-01,1.5500000000000000
2020-07-01,1.33000000000000000000
2020-10-01,1.30333333333333333333
2021-01-01,1.25000000000000000000
2021-04-01,1.21333333333333333333
2021-07-01,1.20333333333333333333
2021-10-01,1.23000000000000000000
2022-01-01,1.21666666666666666667
2022-04-01,1.25666666666666666667
2022-07-01,1.30333333333333333333
